cell,orig.ident,nCount_gene,nFeature_gene,nCount_RNA,nFeature_RNA,sample_id,sample_id_1,tissue_type,Kit_ID,Kit_sample,Seq_Number,Tissue.Type,Prep.Method,Prep.Number,Age,Time.Group,Poor_Read_Number,Moderate_Alignment,Rod_Cells,Possible_Rods,Non_Photoreceptors,Collection_Method,Outliers,VSX2_Outlier,X9_Cluster_Green_Rods,HR_Cluster_LB,HR_Cluster_Black,HR_Cluster_LG,HR_Cluster_DG,HR_Cluster_Pink,Cluster_Color,Fetal_Age,Old_Seq_Number,Old_Seq_Kit_ID,excluded_because,batch,names,type,gene_snn_res.0.2,seurat_clusters,gene_snn_res.0.4,gene_snn_res.0.6,gene_snn_res.0.8,gene_snn_res.1,gene_snn_res.1.2,gene_snn_res.1.4,gene_snn_res.1.6,gene_snn_res.1.8,gene_snn_res.2,read_count,percent.mt,nCount_transcript,nFeature_transcript,transcript_snn_res.0.2,transcript_snn_res.0.4,transcript_snn_res.0.6,transcript_snn_res.0.8,transcript_snn_res.1,transcript_snn_res.1.2,transcript_snn_res.1.4,transcript_snn_res.1.6,transcript_snn_res.1.8,transcript_snn_res.2,ident
ds20181001-0001,ds20181001,526209.3870305879,1532,2384251.38919019,8908,ds20181001-0001,ds20181001-0001,organoid,1A,1,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0001,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.17593668229901768,525534.0720092148,4290,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0002,ds20181001,209036.27784836604,1038,891702.835014707,6107,ds20181001-0002,ds20181001-0002,organoid,1A,2,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0002,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.3751846794991789,208914.3239659046,2592,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0003,ds20181001,470723.6556577244,1696,1748316.06056292,9366,ds20181001-0003,ds20181001-0003,organoid,1A,3,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0003,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.39647112202421303,470707.7278245901,4646,3,5,5,5,6,7,7,7,6,6,12
ds20181001-0004,ds20181001,780500.870165908,1723,2361597.01164197,8895,ds20181001-0004,ds20181001-0004,organoid,1A,4,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0004,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.4962394556051553,779109.3236373476,4845,3,5,5,5,6,7,7,7,6,6,12
ds20181001-0005,ds20181001,406661.2977339911,1235,1774650.58772424,7313,ds20181001-0005,ds20181001-0005,organoid,1A,5,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0005,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.24485163322289666,406722.9029962241,3244,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0006,ds20181001,296052.99787567166,1197,1232401.44788244,6742,ds20181001-0006,ds20181001-0006,organoid,1A,6,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0006,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.9387127764014789,295994.01525326434,2981,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0007,ds20181001,490876.0943672229,1611,1634872.83911892,8789,ds20181001-0007,ds20181001-0007,organoid,1A,7,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0007,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.4599878961694915,490035.301347308,4467,3,5,5,5,6,7,7,7,6,6,12
ds20181001-0008,ds20181001,348263.3422296842,1327,1426519.39510154,7591,ds20181001-0008,ds20181001-0008,organoid,1A,8,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0008,PE,0,7,2,2,2,2,0,0,0,0,7,NA,0.07856026229489385,348227.49730981846,3407,0,2,1,1,1,0,1,0,0,0,7
ds20181001-0009,ds20181001,392044.20867531945,1045,1712257.03083139,6669,ds20181001-0009,ds20181001-0009,organoid,1A,9,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0009,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.4389012426608929,391697.3830028649,2923,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0010,ds20181001,302979.0666555013,1089,1283932.40212295,6478,ds20181001-0010,ds20181001-0010,organoid,1A,10,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0010,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.19320448459962278,302905.4864067266,2879,0,2,1,1,1,0,1,0,0,0,2
