ENTREZID	SYMBOL	GENENAME	FC	ADJ.PVAL
7276	TTR	transthyretin	-6.66	6.4e-194
6282	S100A11	S100 calcium binding protein A11	3.62	5.8e-191
25797	QPCT	glutaminyl-peptide cyclotransferase	-3.76	7.9e-162
2950	GSTP1	glutathione S-transferase pi 1	2.81	3.8e-157
1509	CTSD	cathepsin D	3.99	3.1e-151
5799	PTPRN2	protein tyrosine phosphatase receptor type N2	-3.47	3.5e-112
302	ANXA2	annexin A2	2.88	2.2e-111
2495	FTH1	ferritin heavy chain 1	1.68	1.2e-110
64114	TMBIM1	transmembrane BAX inhibitor motif containing 1	2.55	1.1e-70
966	CD59	CD59 molecule (CD59 blood group)	0.89	2.5e-65
47	ACLY	ATP citrate lyase	-1.77	6.2e-61
10159	ATP6AP2	ATPase H+ transporting accessory protein 2	-1.35	6e-56
84418	CYSTM1	cysteine rich transmembrane module containing 1	-0.91	8.3e-53
10549	PRDX4	peroxiredoxin 4	-1.33	3.9e-49
226	ALDOA	aldolase, fructose-bisphosphate A	0.96	1e-44
5768	QSOX1	quiescin sulfhydryl oxidase 1	1.66	3.4e-40
8895	CPNE3	copine 3	-1.49	4e-36
961	CD47	CD47 molecule	1.33	1.1e-33
10493	VAT1	vesicle amine transport 1	1.31	2e-28
3326	HSP90AB1	heat shock protein 90 alpha family class B member 1	-0.69	9.8e-28
5660	PSAP	prosaposin	0.73	2.4e-26
1938	EEF2	eukaryotic translation elongation factor 2	1.08	2.4e-25
8673	VAMP8	vesicle associated membrane protein 8	1.1	6.5e-25
2512	FTL	ferritin light chain	-0.8	1.3e-24
6386	SDCBP	syndecan binding protein	1.21	1.4e-24
9522	SCAMP1	secretory carrier membrane protein 1	-1.28	4.2e-23
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	0.95	5.1e-21
4718	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	-0.76	2.1e-19
203068	TUBB	tubulin beta class I	0.91	2.3e-19
5315	PKM	pyruvate kinase M1/2	0.63	3.1e-19
3074	HEXB	hexosaminidase subunit beta	0.99	4.4e-18
5879	RAC1	Rac family small GTPase 1	0.88	4.8e-17
